73176	3620580	NEW YORK CITY PUBLIC SCHOOLS	
51287	0622710	LOS ANGELES UNIFIED	CA
31331	1709930	CITY OF CHICAGO SD 299	IL
27509	1200390	DADE	FL
24958	3200060	CLARK COUNTY SCHOOL DISTRICT	NV
20331	1200180	BROWARD	FL
17962	4823640	HOUSTON ISD	TX
15340	1200870	HILLSBOROUGH	FL
14885	4218990	PHILADELPHIA CITY SD	PA
14473	1500030	HAWAII DEPARTMENT OF EDUCATION	HI
14465	4816230	DALLAS ISD	TX
14223	1201440	ORANGE	FL
13750	1201500	PALM BEACH	FL
13198	5101260	FAIRFAX CO PBLC SCHS	VA
12707	1302550	GWINNETT COUNTY	GA
12256	3704720	WAKE COUNTY SCHOOLS	NC
11799	3702970	CHARLOTTE-MECKLENBURG SCHOOLS	NC
10795	2400480	MONTGOMERY COUNTY PUBLIC SCHOOLS	MD
10349	1200480	DUVAL	FL
10174	0634320	SAN DIEGO UNIFIED	CA
9036	2400510	PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS	MD
8326	1301290	COBB COUNTY	GA
8279	2612000	DETROIT CITY SCHOOL DISTRICT	MI
8244	4816110	CYPRESS-FAIRBANKS ISD	TX
7989	1201590	POLK	FL
7918	1301740	DEKALB COUNTY	GA
7835	2400120	BALTIMORE COUNTY PUBLIC SCHOOLS	MD
7826	1201560	PINELLAS	FL
7743	3500060	ALBUQUERQUE PUBLIC SCHOOLS	NM
7648	2102990	JEFFERSON COUNTY	KY
7608	4833120	NORTHSIDE ISD	TX
7285	4808940	AUSTIN ISD	TX
7044	4819700	FORT WORTH ISD	TX
7029	1302280	FULTON COUNTY	GA
6606	1201080	LEE	FL
6528	0803360	SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C	CO
6423	4703180	DAVIDSON COUNTY	TN
6326	0622500	LONG BEACH UNIFIED	CA
6276	0804800	JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1	CO
6248	2400090	BALTIMORE CITY PUBLIC SCHOOLS	MD
6245	5103130	PRINCE WILLIAM CO PBLC SCHS	VA
6238	5509600	MILWAUKEE SCHOOL DISTRICT	WI
6175	4900030	ALPINE DISTRICT	UT
5935	4900360	GRANITE DISTRICT	UT
5933	0614550	FRESNO UNIFIED	CA
5932	0404970	MESA UNIFIED DISTRICT	AZ
5839	4900210	DAVIS DISTRICT	UT
5742	2400060	ANNE ARUNDEL COUNTY PUBLIC SCHOOLS	MD
5723	3701920	GUILFORD COUNTY SCHOOLS	NC
5522	4502310	GREENVILLE 01	SC
5422	1201530	PASCO	FL
5340	5103840	VA BEACH CITY PBLC SCHS	VA
5321	4832940	NORTH EAST ISD	TX
5285	1200150	BREVARD	FL
5276	3904380	COLUMBUS CITY SCHOOL DISTRICT	OH
5258	5102250	LOUDOUN CO PBLC SCHS	VA
5162	4819650	FORT BEND ISD	TX
5149	4807710	ALDINE ISD	TX
5048	3200480	WASHOE COUNTY SCHOOL DISTRICT	NV
4991	4808700	ARLINGTON ISD	TX
4876	4900420	JORDAN DISTRICT	UT
4856	0408800	TUCSON UNIFIED DISTRICT	AZ
4749	4818300	EL PASO ISD	TX
4733	1201710	SEMINOLE	FL
4719	1201920	VOLUSIA	FL
4696	4825170	KATY ISD	TX
4653	0612330	ELK GROVE UNIFIED	CA
4586	0102370	MOBILE COUNTY	AL
4513	0635310	SANTA ANA UNIFIED	CA
4500	4838730	SAN ANTONIO ISD	TX
4415	4702220	KNOX COUNTY	TN
4408	1300120	ATLANTA PUBLIC SCHOOLS	GA
4379	3904378	CLEVELAND MUNICIPAL	OH
4352	4820340	GARLAND ISD	TX
4352	2502790	BOSTON	MA
4344	3701500	WINSTON SALEM/FORSYTH COUNTY SCHOOLS	NC
4325	0634410	SAN FRANCISCO UNIFIED	CA
4319	5100840	CHESTERFIELD CO PBLC SCHS	VA
4207	0634170	SAN BERNARDINO CITY UNIFIED	CA
4190	4835100	PLANO ISD	TX
4143	1201470	OSCEOLA	FL
4105	1301230	CLAYTON COUNTY	GA
4100	4827300	LEWISVILLE ISD	TX
4067	4834320	PASADENA ISD	TX
4034	0607440	CAPISTRANO UNIFIED	CA
4022	4815000	CONROE ISD	TX
4019	3700011	CUMBERLAND COUNTY SCHOOLS	NC
3995	5307710	SEATTLE PUBLIC SCHOOLS	WA
3989	0628050	OAKLAND UNIFIED	CA
3975	4811680	BROWNSVILLE ISD	TX
3955	0608610	CHULA VISTA ELEMENTARY	CA
3907	0609850	CORONA-NORCO UNIFIED	CA
3876	3174820	OMAHA PUBLIC SCHOOLS	NE
3825	2012990	WICHITA	KS
3805	4807830	ALIEF ISD	TX
3793	0633840	SACRAMENTO CITY UNIFIED	CA
3783	4110040	PORTLAND SD 1J	OR
3730	1201230	MANATEE	FL
3716	0200180	ANCHORAGE SCHOOL DISTRICT	AK
3706	2400420	HOWARD COUNTY PUBLIC SCHOOLS	MD
3705	1804770	INDIANAPOLIS PUBLIC SCHOOLS	IN
3689	2733840	ST. PAUL PUBLIC SCHOOL DISTRICT	MN
3634	5101890	HENRICO CO PBLC SCHS	VA
3597	4838080	ROUND ROCK ISD	TX
3590	0614880	GARDEN GROVE UNIFIED	CA
3587	4022770	OKLAHOMA CITY	OK
3556	2721240	MINNEAPOLIS PUBLIC SCHOOL DIST.	MN
3553	2200840	JEFFERSON PARISH	LA
3514	2200540	EAST BATON ROUGE PARISH	LA
3513	4703810	SHELBY COUNTY	TN
3491	0806900	ADAMS 12 FIVE STAR SCHOOLS	CO
3473	0401870	CHANDLER UNIFIED DISTRICT #80	AZ
3429	4501440	CHARLESTON 01	SC
3426	3411340	THE NEWARK PUBLIC SCHOOLS	NJ
3425	0403400	GILBERT UNIFIED DISTRICT	AZ
3419	4030240	TULSA	OK
3417	4820010	FRISCO ISD	TX
3408	4701590	HAMILTON COUNTY	TN
3400	1100030	DISTRICT OF COLUMBIA PUBLIC SCHOOLS	DC
3390	1200330	COLLIER	FL
3378	4825740	KLEIN ISD	TX
3366	0634620	SAN JUAN UNIFIED	CA
3314	1201770	ST. LUCIE	FL
3310	1201050	LAKE	FL
3304	0603630	BAKERSFIELD CITY	CA
3297	2200300	CADDO PARISH	LA
3294	1201260	MARION	FL
3265	3704620	UNION COUNTY PUBLIC SCHOOLS	NC
3243	1200510	ESCAMBIA	FL
3227	4825660	KILLEEN ISD	TX
3219	0638010	STOCKTON UNIFIED	CA
3211	0407750	DEER VALLEY UNIFIED DISTRICT	AZ
3207	4846680	YSLETA ISD	TX
3198	3904375	CINCINNATI CITY	OH
3160	1301110	CHEROKEE COUNTY	GA
3151	4843650	UNITED ISD	TX
3142	1201680	SARASOTA	FL
3137	1602100	MERIDIAN JOINT DISTRICT	ID
3120	4110820	SALEM-KEIZER SD 24J	OR
3105	4815270	CORPUS CHRISTI ISD	TX
3082	1713710	SD U-46	IL
3080	2101860	FAYETTE COUNTY	KY
3072	4840710	SOCORRO ISD	TX
3066	4101920	BEAVERTON SD 48J	OR
3058	0633150	RIVERSIDE UNIFIED	CA
3045	0613920	FONTANA UNIFIED	CA
3042	1302220	FORSYTH COUNTY	GA
2988	1302820	HENRY COUNTY	GA
2972	4502490	HORRY 01	SC
2921	2400330	FREDERICK COUNTY PUBLIC SCHOOLS	MD
2915	3701260	DURHAM PUBLIC SCHOOLS	NC
2911	4837020	RICHARDSON ISD	TX
2904	3605850	BUFFALO CITY SCHOOL DISTRICT	NY
2902	0609030	CLOVIS UNIFIED	CA
2898	4830390	MESQUITE ISD	TX
2895	1301020	CHATHAM COUNTY	GA
2847	2703180	ANOKA-HENNEPIN PUBLIC SCHOOL DIST.	MN
2832	4814280	CLEAR CREEK ISD	TX
2826	3172840	LINCOLN PUBLIC SCHOOLS	NE
2821	2929280	ST. LOUIS CITY	MO
2806	5100810	CHESAPEAKE CITY PBLC SCHS	VA
2804	0409060	WASHINGTON ELEMENTARY SCHOOL DISTRICT	AZ
2803	1201110	LEON	FL
2802	2400390	HARFORD COUNTY PUBLIC SCHOOLS	MD
2775	4841220	SPRING ISD	TX
2762	0406250	PEORIA UNIFIED SCHOOL DISTRICT	AZ
2759	0602610	ANAHEIM CITY	CA
2754	2201650	ST. TAMMANY PARISH	LA
2721	4824420	IRVING ISD	TX
2710	4900630	NEBO DISTRICT	UT
2709	0625800	MORENO VALLEY UNIFIED	CA
2704	0405930	PARADISE VALLEY UNIFIED DISTRICT	AZ
2695	3702370	JOHNSTON COUNTY SCHOOLS	NC
2690	4841100	SPRING BRANCH ISD	TX
2657	4823910	HUMBLE ISD	TX
2647	4827030	LEANDER ISD	TX
2647	0101920	JEFFERSON COUNTY	AL
2633	0634590	SAN JOSE UNIFIED	CA
2612	4818180	EDINBURG CISD	TX
2611	0626370	MT. DIABLO UNIFIED	CA
2607	1200300	CLAY	FL
2604	5102670	NORFOLK CITY PBLC SCHS	VA
2593	0102430	MONTGOMERY COUNTY	AL
2585	0614400	FREMONT UNIFIED	CA
2583	0600028	TEMECULA VALLEY UNIFIED	CA
2574	4834860	PHARR-SAN JUAN-ALAMO ISD	TX
2571	3624750	ROCHESTER CITY SCHOOL DISTRICT	NY
2568	4825260	KELLER ISD	TX
2568	1803630	FORT WAYNE COMMUNITY SCHOOLS	IN
2567	3701620	GASTON COUNTY SCHOOLS	NC
2558	4901200	WEBER DISTRICT	UT
2555	4703690	RUTHERFORD COUNTY	TN
2549	3904490	TOLEDO CITY	OH
2540	0631530	POWAY UNIFIED	CA
2524	1304380	RICHMOND COUNTY	GA
2514	4808130	AMARILLO ISD	TX
2512	4900142	CANYONS DISTRICT	UT
2501	2200330	CALCASIEU PARISH	LA
2495	0628470	ONTARIO-MONTCLAIR	CA
2493	0632550	WEST CONTRA COSTA UNIFIED	CA
2482	2201170	ORLEANS PARISH	LA
2451	2801320	DESOTO CO SCHOOL DIST	MS
2442	4828920	MANSFIELD ISD	TX
2425	1908970	DES MOINES INDEPENDENT COMM SCHOOL DISTRICT	IA
2420	1303870	MUSCOGEE COUNTY	GA
2418	1301500	COWETA COUNTY	GA
2406	0601332	TWIN RIVERS UNIFIED	CA
2394	4704530	WILLIAMSON COUNTY	TN
2394	0402690	DYSART UNIFIED DISTRICT	AZ
2356	4703030	MONTGOMERY COUNTY	TN
2354	0622230	LODI UNIFIED	CA
2335	2802190	JACKSON PUBLIC SCHOOL DIST	MS
2334	4818000	ECTOR COUNTY ISD	TX
2328	1201740	ST. JOHNS	FL
2322	4826130	LA JOYA ISD	TX
2322	3700530	CABARRUS COUNTY SCHOOLS	NC
2308	4501170	BERKELEY 01	SC
2295	2200870	LAFAYETTE PARISH	LA
2279	3407830	JERSEY CITY PUBLIC SCHOOLS	NJ
2275	0635130	SAN RAMON VALLEY UNIFIED	CA
2266	0625470	MONTEBELLO UNIFIED	CA
2262	4828500	LUBBOCK ISD	TX
2255	5102640	NEWPORT NEWS CITY PBLC SCHS	VA
