rank	choice	district	state	city	year
2501	F (default)	Victor Central School District	NY	Victor	2020 (by)
2502	F (default)	Foxborough	MA	Foxborough	2020 (by)
2503	F (default)	Wyoming County Schools	WV	Pineville	2020 (by)
2504	F (default)	Lake Dallas ISD	TX	Lake Dallas	2020
2505	F (default)	Elizabethtown Area SD	PA	Elizabethtown	2018
2506	F (default)	Claremore	OK	Claremore	2021 (by)
2507	F (default)	Logan-Hocking Local	OH	Logan	2014
2508	F (default)	Wyandotte School District of the City of	MI	Wyandotte	2016
2509	F (default)	Johnson County	KY	Paintsville	2020
2510	F (default)	Sunman-Dearborn Com Sch Corp	IN	Sunman	2017
2511	F (default)	Marion CUSD 2	IL	Marion	2020
2512	M	Upper Saint Clair SD	PA	Upper Saint Clair	2015
2513	F (default)	North Hills SD	PA	Pittsburgh	2020 (by)
2514	F (default)	Niskayuna Central School District	NY	Niskayuna	2018
2515	F (default)	Washington	MO	Washington	2020 (by)
2516	F (default)	Falmouth	MA	Falmouth	2015
2517	F (default)	Garrett County Public Schools	MD	Oakland	2020 (by)
2518	F (default)	Fayette County School Corp	IN	Connersville	2017
2519	M	Minidoka County Joint District	ID	Rupert	2016
2520	F (default)	Farmington School District	CT	Farmington	2020 (by)
2521	F (default)	Adams County/Ohio Valley Local	OH	West Union	2020 (by)
2522	F (default)	West Carrollton City	OH	West Carrollton	2020 (by)
2523	F (default)	Union-Endicott Central School District	NY	Endicott	2020 (by)
2524	F (default)	Lawrence Township Public Schools	NJ	Lawrenceville	2020 (by)
2525	F (default)	Burlington Township Board of Education	NJ	Burlington	2020 (by)
2526	M	Northfield Public School District	MN	Northfield	2013
2527	F (default)	Garden City Public Schools	MI	Garden City	2016 (by)
2528	F (default)	RSU 06/MSAD 06	ME	Buxton	2020 (by)
2529	F (default)	Union Elementary District	AZ	Tolleson	2020 (by)
2530	F (default)	Mineral County Schools	WV	Keyser	2020 (by)
2531	F (default)	Bristol	TN	Bristol	2020 (by)
2532	F (default)	Easton	MA	Easton	2020 (by)
2533	F (default)	Dartmouth	MA	Dartmouth	2020 (by)
2534	F (default)	Turner-Kansas City	KS	Kansas City	2020 (by)
2535	F (default)	Greenwood Community Sch Corp	IN	Greenwood	2020 (by)
2536	F (default)	Salida Union Elementary	CA	Salida	2020 (by)
2537	F (default)	Amador County Unified	CA	Jackson	2017
2538	M	Chambers County	AL	Lafayette	2022 (by)
2539	M	South Kingstown	RI	Wakefield	2015
2540	F (default)	North Kingstown	RI	North Kingstown	2020 (by)
2541	F (default)	Currituck County Schools	NC	Currituck	2019
2542	F (default)	Oswego City School District	NY	Oswego	2020 (by)
2543	F (default)	Moorestown Township Public School District	NJ	Moorestown	2020 (by)
2544	F (default)	Churchill County School District	NV	Fallon	2020 (by)
2545	F (default)	Oxford School District	MS	Oxford	2017
2546	M	Alpena Public Schools	MI	Alpena	2021 (by)
2547	F	Dunlap CUSD 323	IL	Dunlap	2017
2548	F (default)	Ocean View	CA	Huntington Beach	2020 (by)
2549	F (default)	Central Falls	RI	Central Falls	2020 (by)
2550	F (default)	Duncan	OK	Duncan	2017
2551	F (default)	DeKalb Co Ctl United Sch Dist	IN	Auburn	2020
2552	F (default)	Cucamonga Elementary	CA	Rancho Cucamonga	
2553	F (default)	San Elizario ISD	TX	San Elizario	
2554	F (default)	Rhea County	TN	Dayton	
2555	F (default)	Anson County Schools	NC	Wadesboro	
