rank	district	state	field	FcoMU	mCWgg
2501	Victor Central School District	NY	year_started	2020 (by)	
2501	Victor Central School District	NY	one_to_one	Yes (likely)	Yes
2501	Victor Central School District	NY	grade_levels	3-12	K-12 (3-12 take-home; K-2 in-class)
2502	Foxborough	MA	year_started	2020 (by)	
2503	Wyoming County Schools	WV	year_started	2020 (by)	
2503	Wyoming County Schools	WV	grade_levels	K-12	Not specified
2504	Lake Dallas ISD	TX	year_started	2020 (by)	2019
2505	Elizabethtown Area SD	PA	one_to_one	Yes (phased)	Yes
2505	Elizabethtown Area SD	PA	grade_levels	Gr. 4-12 (initial); later expanded to Gr. 1+	1-12
2506	Claremore	OK	year_started	2021 (by)	
2506	Claremore	OK	one_to_one	Yes	Yes (likely)
2506	Claremore	OK	grade_levels	K-12	Not specified
2507	Logan-Hocking Local	OH	year_started	2014	
2507	Logan-Hocking Local	OH	month_started	Fall	
2507	Logan-Hocking Local	OH	one_to_one	Yes (phased)	Yes (likely)
2507	Logan-Hocking Local	OH	grade_levels	Gr. 7-12	Not specified
2507	Logan-Hocking Local	OH	device_type	Laptop	Chromebook
2508	Wyandotte School District of the City of	MI	grade_levels	Gr. 5-12	5-12
2509	Johnson County	KY	year_started	2020	
2509	Johnson County	KY	one_to_one	Yes	Yes (likely)
2509	Johnson County	KY	grade_levels	K-12	Not specified
2510	Sunman-Dearborn Com Sch Corp	IN	month_started	Fall	
2510	Sunman-Dearborn Com Sch Corp	IN	grade_levels	Gr. 6-8 (initial)	6-12 (2017); K-12 eventually
2512	Upper Saint Clair SD	PA	year_started	2020	2015
2512	Upper Saint Clair SD	PA	one_to_one	Yes	Yes (phased)
2512	Upper Saint Clair SD	PA	grade_levels	K-12	MS then K-12
2512	Upper Saint Clair SD	PA	device_type	Chromebook	iPad then Chromebook
2513	North Hills SD	PA	year_started	2020 (by)	2016
2513	North Hills SD	PA	one_to_one	Yes	Yes (phased)
2513	North Hills SD	PA	grade_levels	K-12	6-8 then K-12
2514	Niskayuna Central School District	NY	month_started	Fall	September
2514	Niskayuna Central School District	NY	grade_levels	Gr. 6-12 (initial)	6-12
2515	Washington	MO	year_started	2020 (by)	2022 (by)
2516	Falmouth	MA	month_started	Fall	September
2516	Falmouth	MA	one_to_one	Yes	Yes (phased)
2516	Falmouth	MA	grade_levels	K-12	MS pilot then all grades
2517	Garrett County Public Schools	MD	year_started	2020 (by)	
2517	Garrett County Public Schools	MD	grade_levels	K-12	Not specified
2517	Garrett County Public Schools	MD	device_type	Chromebook	Not specified
2518	Fayette County School Corp	IN	grade_levels	Gr. 2-12	2-12 (K-1 shared)
2519	Minidoka County Joint District	ID	year_started	2020	2016
2519	Minidoka County Joint District	ID	month_started	Fall	
2519	Minidoka County Joint District	ID	grade_levels	HS (prior); MS added Fall 2020	HS then MS
2519	Minidoka County Joint District	ID	device_type	Chromebook	Laptop
2520	Farmington School District	CT	grade_levels	Gr. 3-12	3-12
2521	Adams County/Ohio Valley Local	OH	year_started	2020 (by)	
2521	Adams County/Ohio Valley Local	OH	grade_levels	K-12	Not specified
2522	West Carrollton City	OH	year_started	2020 (by)	
2522	West Carrollton City	OH	grade_levels	K-12	Not specified
2523	Union-Endicott Central School District	NY	year_started	2020 (by)	
2524	Lawrence Township Public Schools	NJ	year_started	2020 (by)	2021 (by)
2524	Lawrence Township Public Schools	NJ	one_to_one	Yes (likely)	Yes
2524	Lawrence Township Public Schools	NJ	grade_levels	K-12	Not specified
2525	Burlington Township Board of Education	NJ	year_started	2020 (by)	
2525	Burlington Township Board of Education	NJ	grade_levels	K-12	Not specified
2525	Burlington Township Board of Education	NJ	device_type	Chromebook	Not specified
2526	Northfield Public School District	MN	year_started	2015	2013
2526	Northfield Public School District	MN	month_started	Fall	August
2526	Northfield Public School District	MN	one_to_one	Yes (phased)	Yes
2526	Northfield Public School District	MN	grade_levels	Gr. 5-12 (initial)	6-12
2526	Northfield Public School District	MN	device_type	Chromebook	iPad
2527	Garden City Public Schools	MI	one_to_one	Yes (likely)	Yes
2527	Garden City Public Schools	MI	grade_levels	Gr. 5-12	Not specified
2528	RSU 06/MSAD 06	ME	year_started	2020 (by)	
2528	RSU 06/MSAD 06	ME	grade_levels	K-12	Not specified
2529	Union Elementary District	AZ	year_started	2020 (by)	
2529	Union Elementary District	AZ	grade_levels	K-8	Not specified
2529	Union Elementary District	AZ	device_type	Chromebook	Not specified
2530	Mineral County Schools	WV	year_started	2020 (by)	
2530	Mineral County Schools	WV	grade_levels	K-12	Not specified
2531	Bristol	TN	year_started	2020 (by)	
2531	Bristol	TN	grade_levels	Gr. 3-12	3-12
2532	Easton	MA	year_started	2020 (by)	
2532	Easton	MA	grade_levels	K-12	Not specified
2533	Dartmouth	MA	year_started	2020 (by)	
2533	Dartmouth	MA	one_to_one	Partial	Yes (likely)
2533	Dartmouth	MA	grade_levels	MS+	Not specified
2534	Turner-Kansas City	KS	year_started	2020 (by)	
2534	Turner-Kansas City	KS	grade_levels	K-12	Not specified
2534	Turner-Kansas City	KS	device_type	Mixed (MacBook/iPad)	Laptop
2535	Greenwood Community Sch Corp	IN	year_started	2020 (by)	
2535	Greenwood Community Sch Corp	IN	grade_levels	K-12	Not specified
2536	Salida Union Elementary	CA	year_started	2020 (by)	
