district_name,city,year_started,month_started,one_to_one,grade_levels,device_type,notes,source_url,source_2,enrollment_count,enrollment_size,locale_type,google_search,google_sources
Adams Central Community Schools,Monroe,2020,April,,,Chromebook,upper bound (repairs page created),https://www.accs.k12.in.us/article/235666,,1357,Medium,Rural,,
Alexandria Community School Corporation,Alexandria,2017,September,,,Ipad,upper bound (insurance mentioned),https://www.facebook.com/profile/100063786570659/search/?q=ipad,,1374,Medium,Rural,,
Anderson Community Schools,Anderson,2016,January,Yes,6th grade (initially),Chromebook,upped bound (this is when 6th grade got it),https://acsc.edlioschool.com/apps/pages/index.jsp?uREC_ID=619342&type=d&pREC_ID=1094367,,6181,Large,Urban,,
Argos Community Schools,Argos,2015,June,,,"Tablet (k-1), Chromebook (2-12)",upper bound,https://www.facebook.com/profile/100040276016260/search/?q=chromebook,https://www.kiddermedia.com/wp-content/uploads/2019/02/Argos-15-16Sp-PROOF8.pdf,639,Small,Rural,,
Attica Consolidated School Corporation,Attica,2018,July,,,ipad (k-2) Chromebook (3-12),"upper bound (the personal Learning device agreement was updated july 2021, but a tech policy was updated july 2017 that doesn't specifcally mention 1:1 devices) High school facebook page shows them as early as 2018",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4029/Acsc/0c028cb5-6b3b-424f-8f92-8b4dacadf72f/3f5c75cc-57f2-49fe-b52f-108349c8a5ec.pdf?disposition=inline,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4029/Acsc/38736fd7-d028-491c-be6c-b3505b0cff66/915b9c99-5def-45e6-88b7-d9e36bff3627.pdf?disposition=inline,537,Small,Rural,,
Avon Community School Corporation,Avon,2021,July,Yes,Grades 6-12,Laptop (not Chromebook),"upper bound, first tech page archive in 2021",https://www.avon-schools.org/services/technology,https://web.archive.org/web/20210731095301/https://www.avon-schools.org/services/technology,10742,Large,Suburban,,
Barr-Reeve Community Schools,Montgomery,2016,July,,,Chromebooks,"upper bound, mention on facebook",https://www.facebook.com/profile/100063543403755/search/?q=chromebooks,,1029,Medium,Rural,,
Bartholomew Consolidated School Corporation,Columbus,2015,August,Yes,Grades 1-12,Mixed (HP Chromebooks 1-8; laptops HS),Tied to UDL implementation by 2008; specific Chromebook launch year not confirmed; CSA-New Tech receives different device,https://www.bcscschools.org/departments/technology-division/bcsc-technology-covid-19-pandemic-story,https://www.therepublic.com/2015/05/14/technology_in_hand/,11657,Large,Urban,,
Batesville Community School Corporation,Batesville,2014,,Yes,,ipad (k-2) Macbook air (3-12),,https://batesvilleinschools.com/departments/technology/,,2220,Medium,Rural,,
Baugo Community Schools,Elkhart,2016,,,At least 7-12,chromebooks,"upper bound. Chromebook guide appears may 2015, rollouts mentioned aug 2016",https://www.facebook.com/profile/100063621176256/search/?q=chromebook,,1849,Medium,Suburban,,
Beech Grove City Schools,Beech Grove,2014,july,,,ipads (2) chromebooks (3),Elemntary princpal mentions 1:1 in 2016. Teacher training shown for ipad minis in 2014-15,https://www.facebook.com/profile/100063694383396/search/?q=chromebook,,2790,Medium,Suburban,,
Benton Community School Corporation,Fowler,2013,sept,,jr-sr high,laptop,"bound, mentioned on facebook",https://www.facebook.com/profile/100063553810820/search/?q=laptop,,1601,Medium,Rural,,
Blackford County Schools,Hartford City,2020,,no,,chromebook,"went 1:1 during covid, but mentioned sharing in the year before (maybe mark 2020?)",https://www.facebook.com/profile/100063723995610/search/?q=chromebook,https://www.bcs.k12.in.us/o/bhs/article/323852,1412,Medium,Rural,,
Bloomfield School District,Bloomfield,2014,july,no,jr-sr high,various,mention in 2016 that they're on 3rd year of devices in schools. But it was bring your own (with laptops provide for those that can't afford),https://www.facebook.com/profile/100063465282911/search/?q=laptop,,852,Small,Rural,,
Blue River Valley Schools,Mount Summit,2016,August,,jr-sr high,chromebook,mention it on facebook,https://www.facebook.com/profile/100057201560146/search/?q=chromebook,,620,Small,Rural,,
Borden-Henryville School Corporation,Borden,2020,,Yes,K-12,Chromebook,COVID-era distribution; newly formed from West Clark split,https://www.newsandtribune.com/news/silver-creek-borden-henryville-distributing-chromebooks-after-delays/article_2b03aa4c-01c9-11eb-94ba-4b35389dfa30.html,,1733,Medium,Rural,,
Bremen Public Schools,Bremen,2016,,,8-Jun,chromebook,mentioned on facebook,https://www.facebook.com/profile/100063473263273/search/?q=chromebook,,1497,Medium,Rural,,
Brown County School Corporation,Nashville,2017,January,,jr-sr high,chromebooks,second semester of the year,https://bcdemocrat.com/2016/09/07/high-tech-high-school-districts-oldest-students-to-get-laptops-next-semester/,,1549,Medium,Rural,,
Brownsburg Community School Corporation,Brownsburg,2015,August,Yes (HS),High school (BHS),Laptop (not Chromebook),"upper bound; FB device-search CSS-decoded dates: oldest 2015-08-17, then 2017-11-27, 2018-11-02; BHS issues laptops at Bulldog Bootcamp; not a Chromebook district",https://bhs.brownsburg.k12.in.us/bhs-laptops,https://www.facebook.com/profile/100063613898685/search/?q=device,10503,Large,Suburban,,
Brownstown Central Community School Corporation,Brownstown,2020,Jan,,"6th grade pilot in jan 2020, 7-8th grade expansion next year",chromebook,middle school facebook page,https://www.facebook.com/profile/100030635332216/search/?q=chromebook,,1391,Medium,Rural,,
C.A. Beard Memorial School Corporation,Knightstown,,,,,,no public evidence of 1:1 found; FB has no chromebook/ipad/laptop posts; district website lacks tech device pages,,,1077,Medium,Rural,1,Google searches returned no 1:1 evidence; district homepage cabeard.k12.in.us has no device program info
Cannelton City Schools,Cannelton,,,,,,no public evidence of 1:1 found via FB or website; district has Apex Online Courses + Cannelton Virtual Academy but no device program info located,,,216,Small,Rural,1,Google searches returned no 1:1 evidence; cannelton.k12.in.us has no device program info
Carmel Clay Schools,Carmel,2020 (by),March,Yes,K-12,Chromebook,"upper bound; FB device-search CSS-decoded dates oldest 2020-03-12 (COVID-era); chromebook search oldest 2020-11-13; all K-12 students receive district-issued Chromebook",https://www.ccs.k12.in.us/services/technology-data-solutions/chromebooks,https://www.facebook.com/profile/100064008484854/search/?q=device,16145,Very Large,Urban,,
Carroll Consolidated School Corporation,Flora,2021,October,Yes (likely),HS confirmed,Chromebook,"upper bound; only FB chromebook hit is FAFSA night post 2021-10-14 reminding seniors to bring Chromebook; rollout likely earlier",https://www.facebook.com/profile/100069301255761/search/?q=chromebook,,1023,Medium,Rural,,
Caston School Corporation,Fulton,,,Yes,K-12,iPad (not Chromebook),district provides iPad to each K-12 student per Caston 1:1 Technology page; year not confirmed,https://www.caston.k12.in.us/parents/11-technology,,816,Small,Rural,1,Google search confirmed iPad K-12 1:1 program but no public start year identified
Center Grove Community School Corporation,Greenwood,2013,November,Yes,K-12,Mixed (iPads K-2; devices 3+),"upper bound; 'Mobile Minds 1:1 Project' / @CGMobileMinds; oldest FB iPad post 2013-11-21; 2014-07-30 expansion to 8th graders at MS Central & North; HS deployment 2014-07-31",https://www.centergrove.k12.in.us/departments/technology,https://www.facebook.com/profile/100064126623692/search/?q=ipad,9736,Large,Suburban,,
Centerville-Abington Community Schools,Centerville,,,Yes,3-12 1:1; K-2 classroom sets,iPad (not Chromebook),"district has 1:1 Technology Coordinator role; iPads grades 3-12 1:1 with K-2 classroom sets per Home in Wayne profile; year not confirmed",https://homeinwayne.com/learn/,,1755,Medium,Rural,1,"Google search snippet says ""grades 3-6 have Chromebooks; 7-12 have laptops take-home"" — conflicts with iPad-district existing notes; year not found"
Central Noble Community School Corporation,Albion,,,Yes (likely),Not specified,Mixed (iPad and MacBook; not Chromebook),district uses iPad and MacBook integration per district welcome page; not a Chromebook district; year not confirmed,https://www.centralnoble.k12.in.us/cncsc/welcome,,1095,Medium,Rural,,
Clarksville Community School Corporation,Clarksville,2013,May,Yes,K-12,Mixed (Chromebooks and iPads),FB 2013-05-16 post links to News Tribune board article on 'New 1-1 device approved' - board approval for 2013-14 SY rollout,https://newsandtribune.com/local/x6233457/New-1-1-device-approved-at-Clarksville-schools,https://www.facebook.com/profile/100063511313687/search/?q=chromebook,7174,Large,Suburban,,
