district_name,state,city,year_started,month_started,one_to_one,grade_levels,device_type,notes,source_url,source_2,seda_rank,seda_row_count
New York City Public Schools,NY,New York,2020 (by),September,Yes (likely),Not specified,Mixed (laptops),"upper bound; FB chromebooks oldest 2020-09-14 (COVID-era distribution); Sep 2025 announcement of 350,000 free laptops new district-wide initiative; ~1.1M students",https://www.facebook.com/profile/100064718199041/search/?q=chromebooks,https://www.nyc.gov/mayors-office/news/2025/09/mayor-adams-to-distribute-350-000-free--brand-new-chromebooks-wi,1,13209
Los Angeles Unified School District,CA,Los Angeles,2013,August,Yes,Initial: Broadacres Elementary (then district-wide plan),iPad,FB ipads search 2013-08-27 LA Times article 'First L.A. Unified school gets iPads in $1-billion effort - An elementary school in Carson on Tuesday became a pioneer in a $1-billion effort to provide iPads to every student in the Los Angeles Unified School District' - this is the famous (later canceled) $1B iPad rollout starting Aug 27 2013,https://www.facebook.com/profile/100064803273731/search/?q=ipads,,2,8014
Chicago Public Schools,IL,Chicago,2020 (by),April,Yes,K-12,Chromebook,FB chromebooks oldest 2020-04-09 (COVID-era distribution); 2023-09-08 Corliss HS post 'students received Chromebooks with internet' for STEM/career pathways,https://www.facebook.com/profile/100064480608394/search/?q=chromebooks,,3,5469
Miami-Dade County Public Schools,FL,Miami,2014,Spring,Yes (phased),"Elem: HP laptop carts; MS: tablets in 7th Civics & 8th US History; HS: tablets 9th-10th",Mixed (HP/Lenovo Windows 8),"Spring 2014 launch for 2014-15 SY; 60K devices in Y1 + 44K in Y2; ~$200M project cost; partnership with HP/Lenovo/Microsoft",https://marketbrief.edweek.org/strategy-operations/miami-dade-schools-to-work-with-hp-lenovo-microsoft-on-1-to-1-technology-plan/2014/02,https://digital.dadeschools.net/pdfs/Mobile_Device_Reference_Guide_2014-15%20final.pdf,4,4138
Houston Independent School District,TX,Houston,2013,Fall,Yes (phased HS),"2013-14: 11 schools (phase 1); 2014-15: 21 HS added; 2015-16: remaining 10 HS",Laptop (later Chromebook from 2022),"PowerUp initiative; goal 1:1 at all 283 schools by 2016; $25/yr usage fee starting 2022-23 SY",https://blogs.houstonisd.org/news/2014/12/19/phase-two-powerup-schools-preparing-for-11-laptop-deployment/,https://www.houstonisd.org/domain/47953,5,3241
Clark County School District,NV,Las Vegas,2020,April,Yes,K-12 (district-wide goal),Chromebook,COVID-driven 1:1 rollout; 55K Chromebooks distributed Apr 2020; 76K more ordered Aug 2020 to reach district-wide 1:1 ratio; $23M additional spend; 5th-largest US district,https://www.reviewjournal.com/local/education/clark-county-students-get-chromebooks-for-distance-learning-2091682/,https://lasvegassun.com/news/2020/apr/16/ccsd-deploys-chromebooks-distance-learning-data/,6,3080
Broward County Public Schools,FL,Fort Lauderdale,2020,Spring,Yes,All students,Laptop,COVID-era 2020-21 SY rollout for in-school and at-home learning; program lapsed after pandemic; reestablished Aug 2025 (every student gets laptop) per Superintendent Hepburn,https://www.caribbeannationalweekly.com/news/local-news/broward-schools-to-reissue-laptops-to-students-starting-august-11/,https://www.browardschools.com/parentsstudentsstaff/parents-families/bcps-one-to-one-laptop-issuance-program,7,2837
Hawaii Department of Education,HI,Honolulu,2009,,Yes (school-by-school then COVID),"Pilot: Kalani HS (since 2009); Keaau Elem/MS in 2012-13 (~1500 laptops); statewide via COVID emergency funds 2020+",Mixed (laptops/tablets),"Makana Connection initiative under Gov Abercrombie 2012; ~1500 laptops at Keaau Elementary + Middle (Hawaii Island) for 2012-13; Kalani HS earliest at 2009; $72M federal Emergency Connectivity Fund 2020 for statewide expansion",https://www.hawaiibusiness.com/a-computer-for-every-student/,https://www.govtech.com/education/k-12/hawaii-schools-to-spend-72m-on-devices-online-learning,8,2782
Philadelphia City School District,PA,Philadelphia,2014,,Yes (initial: 1 school; district-wide 2020),"Initial: Science Leadership Academy freshmen 2014 (Dell Chromebooks); district-wide K-12 by 2020 (COVID-era)",Chromebook,"SLA pilot rollout to freshmen 2014; March 2020 board approved $11M for 50K Chromebooks; combined with existing 40K + 35-40K more needed; full 1:1 by 2020-21 SY",https://thejournal.com/articles/2014/01/23/philly-school-swapping-macs-for-chromebooks-opens-center-of-excellence-in-learning-with-dell.aspx,https://6abc.com/philly-students-open-up-chromebooks-for-first-day-of-school/6400647/,9,2742
Dallas Independent School District,TX,Dallas,2019,October,Yes (phased),"Initial: 6 HS (S Oak Cliff, Lincoln, Roosevelt, Madison, Wilmer Hutchins, Pinkston); 2020: PreK-2 iPads + 3-5 Chromebooks",Mixed (Chromebook + iPad),"Oct 2019: 5300 Chromebooks at 6 HS pilot, partnership with 1Million Project + Sprint for Wi-Fi; Aug 2020: $20M for 46K iPads PreK-2 + 14K Chromebooks gr3-5",https://www.wfaa.com/article/news/education/students-at-six-dallas-isd-high-schools-receiving-take-home-laptops-and-wi-fi/287-6bbe437a-dfa2-4071-8cdd-5a2147fc2a44,https://thehub.dallasisd.org/2020/08/18/dallas-isd-kicks-off-three-week-effort-to-provide-every-elementary-student-with-an-ipad-or-chromebook/,10,2620
