"district_name","state","city","year_started","month_started","one_to_one","grade_levels","device_type","notes","source_url","source_2","seda_rank","seda_row_count","web_search","fb_search","leaid"
"New York City Public Schools","NY","New York","2020 (by)","September","Yes (likely)","Not specified","Mixed (laptops)","upper bound; FB chromebooks oldest 2020-09-14 (COVID-era distribution); Sep 2025 announcement of 350,000 free laptops new district-wide initiative; ~1.1M students","https://www.facebook.com/profile/100064718199041/search/?q=chromebooks","https://www.nyc.gov/mayors-office/news/2025/09/mayor-adams-to-distribute-350-000-free--brand-new-chromebooks-wi","1","13209","1","1","3620580"
"Los Angeles Unified School District","CA","Los Angeles","2013","August","Yes","Initial: Broadacres Elementary (then district-wide plan)","iPad","FB ipads search 2013-08-27 LA Times article 'First L.A. Unified school gets iPads in $1-billion effort - An elementary school in Carson on Tuesday became a pioneer in a $1-billion effort to provide iPads to every student in the Los Angeles Unified School District' - this is the famous (later canceled) $1B iPad rollout starting Aug 27 2013","https://www.facebook.com/profile/100064803273731/search/?q=ipads","","2","8014","1","1","0622710"
"Chicago Public Schools","IL","Chicago","2020 (by)","April","Yes","K-12","Chromebook","FB chromebooks oldest 2020-04-09 (COVID-era distribution); 2023-09-08 Corliss HS post 'students received Chromebooks with internet' for STEM/career pathways","https://www.facebook.com/profile/100064480608394/search/?q=chromebooks","","3","5469","1","1","1709930"
"Miami-Dade County Public Schools","FL","Miami","2014","Spring","Yes (phased)","Elem: HP laptop carts; MS: tablets in 7th Civics & 8th US History; HS: tablets 9th-10th","Mixed (HP/Lenovo Windows 8)","Spring 2014 launch for 2014-15 SY; 60K devices in Y1 + 44K in Y2; ~$200M project cost; partnership with HP/Lenovo/Microsoft","https://marketbrief.edweek.org/strategy-operations/miami-dade-schools-to-work-with-hp-lenovo-microsoft-on-1-to-1-technology-plan/2014/02","https://digital.dadeschools.net/pdfs/Mobile_Device_Reference_Guide_2014-15%20final.pdf","4","4138","1","0","1200390"
"Houston Independent School District","TX","Houston","2013","Fall","Yes (phased HS)","2013-14: 11 schools (phase 1); 2014-15: 21 HS added; 2015-16: remaining 10 HS","Laptop (later Chromebook from 2022)","PowerUp initiative; goal 1:1 at all 283 schools by 2016; $25/yr usage fee starting 2022-23 SY","https://blogs.houstonisd.org/news/2014/12/19/phase-two-powerup-schools-preparing-for-11-laptop-deployment/","https://www.houstonisd.org/domain/47953","5","3241","1","0","4823640"
"Clark County School District","NV","Las Vegas","2020","April","Yes","K-12 (district-wide goal)","Chromebook","COVID-driven 1:1 rollout; 55K Chromebooks distributed Apr 2020; 76K more ordered Aug 2020 to reach district-wide 1:1 ratio; $23M additional spend; 5th-largest US district","https://www.reviewjournal.com/local/education/clark-county-students-get-chromebooks-for-distance-learning-2091682/","https://lasvegassun.com/news/2020/apr/16/ccsd-deploys-chromebooks-distance-learning-data/","6","3080","1","0","3200060"
"Broward County Public Schools","FL","Fort Lauderdale","2020","Spring","Yes","All students","Laptop","COVID-era 2020-21 SY rollout for in-school and at-home learning; program lapsed after pandemic; reestablished Aug 2025 (every student gets laptop) per Superintendent Hepburn","https://www.caribbeannationalweekly.com/news/local-news/broward-schools-to-reissue-laptops-to-students-starting-august-11/","https://www.browardschools.com/parentsstudentsstaff/parents-families/bcps-one-to-one-laptop-issuance-program","7","2837","1","0","1200180"
"Hawaii Department of Education","HI","Honolulu","2009","","Yes (school-by-school then COVID)","Pilot: Kalani HS (since 2009); Keaau Elem/MS in 2012-13 (~1500 laptops); statewide via COVID emergency funds 2020+","Mixed (laptops/tablets)","Makana Connection initiative under Gov Abercrombie 2012; ~1500 laptops at Keaau Elementary + Middle (Hawaii Island) for 2012-13; Kalani HS earliest at 2009; $72M federal Emergency Connectivity Fund 2020 for statewide expansion","https://www.hawaiibusiness.com/a-computer-for-every-student/","https://www.govtech.com/education/k-12/hawaii-schools-to-spend-72m-on-devices-online-learning","8","2782","1","0","1500030"
"Philadelphia City School District","PA","Philadelphia","2014","","Yes (initial: 1 school; district-wide 2020)","Initial: Science Leadership Academy freshmen 2014 (Dell Chromebooks); district-wide K-12 by 2020 (COVID-era)","Chromebook","SLA pilot rollout to freshmen 2014; March 2020 board approved $11M for 50K Chromebooks; combined with existing 40K + 35-40K more needed; full 1:1 by 2020-21 SY","https://thejournal.com/articles/2014/01/23/philly-school-swapping-macs-for-chromebooks-opens-center-of-excellence-in-learning-with-dell.aspx","https://6abc.com/philly-students-open-up-chromebooks-for-first-day-of-school/6400647/","9","2742","1","0","4218990"
"Dallas Independent School District","TX","Dallas","2019","October","Yes (phased)","Initial: 6 HS (S Oak Cliff, Lincoln, Roosevelt, Madison, Wilmer Hutchins, Pinkston); 2020: PreK-2 iPads + 3-5 Chromebooks","Mixed (Chromebook + iPad)","Oct 2019: 5300 Chromebooks at 6 HS pilot, partnership with 1Million Project + Sprint for Wi-Fi; Aug 2020: $20M for 46K iPads PreK-2 + 14K Chromebooks gr3-5","https://www.wfaa.com/article/news/education/students-at-six-dallas-isd-high-schools-receiving-take-home-laptops-and-wi-fi/287-6bbe437a-dfa2-4071-8cdd-5a2147fc2a44","https://thehub.dallasisd.org/2020/08/18/dallas-isd-kicks-off-three-week-effort-to-provide-every-elementary-student-with-an-ipad-or-chromebook/","10","2620","1","0","4816230"
"Hillsborough County Public Schools","FL","Tampa","2020 (by)","April","Yes","K-12","Laptop","FB laptops oldest 2020-04-16 (COVID-era distribution); 2024 employee post recalling pandemic 'delivered laptops and learning'; HEF Tech Connect targets at-risk students","https://www.facebook.com/profile/100068682704611/search/?q=laptops","","11","2550","1","1","1200870"
"Orange County Public Schools","FL","Orlando","2013","","Yes","Initial: phased; 2020-21 all MS/HS","Laptop","Laptop initiative started 2013 per district info; by 2020-21 all MS/HS students assigned personal laptops; ~$30M/yr ongoing; BYOD also offered; cost concerns highlighted in 2024 audit","https://www.govtech.com/education/k-12/orange-county-fla-schools-find-1-1-laptop-costs-unsustainable","https://www.ocps.net/departments/curriculum__and_digital_learning/digital_learning/family_technology_handbook","12","2109","1","0","1201440"
"San Diego Unified School District","CA","San Diego","2009","","Yes (phased)","Initial 2009-10: 3rd grade, 6th grade, HS math","Laptop (then iPad/Netbook 2010-12; Chromebook 2016+)","2009-10 SY started with ~38K laptops for grades 3/6 + HS math; 2010-12 added iPads + Lenovo Netbooks; 2016 deployed 16K Chromebooks for 47K students (1-to-1); total ~194K devices for 106K students; $133.2M spent","https://thejournal.com/articles/2016/10/25/san-diego-unified-forges-ahead-on-chromebook-1to1.aspx","https://inewsource.org/2017/08/04/student-technology-challenges/","13","2012","1","0","0634320"
"Fairfax County Public Schools","VA","Fairfax","2016","","Yes (phased)","Pilot: Chantilly Pyramid 2016; HS-wide 2019-20; PreK-K iPads; gr1-2 laptops; full K-12 by 2023","Mixed (Dell Latitude 3300 + iPads)","FCPSOn initiative; 2016 Chantilly pilot; 61,881 Dell Latitude 3300 laptops for 2019-20 SY HS; PreK-K get iPads; goal K-12 by 2023","https://www.washingtonpost.com/local/education/logging-on-to-learn-all-fairfax-county-high-school-students-getting-laptops/2019/08/11/7fb69136-b953-11e9-a091-6a96e67d9cce_story.html","https://www.fcps.edu/family-resources/technology/fcpson","14","1962","1","0","5101260"
"Palm Beach County School District","FL","West Palm Beach","2018","","Yes (initial classroom; expanded 2020)","Not specified initially; full district 2020","Chromebook","2018: 25K+ Chromebooks deployed via Penny Sales Tax; 2020 COVID expansion ~$45M for ~100K devices total distributed including WiFi hotspots; ongoing 1:1 take-home policy by 2021","https://bocanewsnow.com/2018/08/14/chromebooks-some-pbc-classes-have-them-others-dont-parents-unhappy/","https://bocanewsnow.com/2021/02/27/chromebook-take-home-policy-reviewed-in-palm-beach-school-district/","15","1909","1","0","1201500"
"Memphis-Shelby County Schools","TN","Memphis","2020","August","Yes","PreK-8 tablets; 9-12 laptops","Mixed (tablet + laptop)","Aug 3 2020 distribution start; ~95K+ devices; $45M plan via June 2020 board vote; PreK-8 issued tablets in protective cases; 9-12 issued laptops with cases; lease-purchase with Microsoft + HP; goal complete by Nov 2020","https://www.localmemphis.com/article/news/education/free-laptops-and-tablets-to-be-given-to-shelby-county-schools-students-starting-august-3/522-05acfdfd-b03a-479d-aeed-fa669ccd9127","https://wreg.com/news/shelby-county-schools-to-provide-devices-to-every-student-in-the-district/","16","1846","1","0","4703810"
"District of Columbia Public Schools","DC","Washington","2013","","Yes (initial Blended Learning; full 1:1 by 2020)","Initial Blended Learning 2013; 3 schools VILS tablet 1:1 ~2017; full Chromebook for 2020-21","Mixed (tablets then Chromebooks)","DCPS Blended Learning initiative launched 2013; 3 schools entered Verizon Innovative Learning Schools device grant (1:1 tablet) ~2017; Chromebooks distributed for 2020-21 SY (COVID-era full 1:1)","https://digitalpromise.org/district/district-of-columbia-public-schools/","https://dcps.dc.gov/","17","1792","1","0","1100030"
"Wake County Public School System","NC","Raleigh","2020","April","Yes","K-12","Chromebook","COVID-era 1:1 launched April 3 2020 for ~160K students; first universal program (pre-2020 had only carts/labs); district considering scaling back as of 2025-26 due to costs","https://www.cbs17.com/news/local-news/wake-county-news/wake-county-schools-working-to-provide-laptops-for-every-student-ahead-of-new-academic-year/","https://www.govtech.com/education/k-12/wake-county-n-c-schools-ending-1-1-student-device-program","18","1735","1","0","3704720"
