"PLAINFIELD PUBLIC SCHOOLS","NJ","Plainfield","","","Yes (likely)","K-12","Chromebook","District has 1:1 Chromebook program at Plainfield High School (per district website); iPad Initiative also referenced on district site; no firm launch year found in web sources","https://phs.plainfieldschools.org/parents/1_1_chromebook_information","https://www.plainfieldnjk12.org/page/information-technology","1151","612","1","0","3413140"
"GARVEY ELEMENTARY","CA","Rosemead","2020 (by)","April","Yes (likely)","K-8","Chromebook","Distance Learning program began April 13 2020; district provided Chromebook/laptop login instructions and Google Classroom for all students; no pre-COVID 1:1 firm year found","https://www.garvey.k12.ca.us/apps/pages/distance-learning","https://www.garvey.k12.ca.us/apps/pages/index.jsp?uREC_ID=442351&type=d&pREC_ID=1155631","1152","612","1","0","0614940"
"PENINSULA SCHOOL DISTRICT","WA","Gig Harbor","2016 (by)","","Yes (phased)","6-12","Chromebook","Chromebooks piloted with all 3rd-4th grade students in 2013-14; 2014 Technology Levy enabled expansion; all middle and high school (6-12) students officially assigned Chromebook beginning 2016-17 SY; district later replacing with MacBooks","https://www.sumnersd.org/schools1/technology/1-1-overview","https://www.psd401.net/technology","1153","611","1","0","5306690"
"OREGON CITY SD 62","OR","Oregon City","2016 (by)","","Yes (phased)","5-12","Chromebook","1-1 Handbook Chromebook 2016 document published on district site; grades 5-12 issued Chromebooks 24/7; classrooms have cart sets for all students; 2016 is earliest dated evidence","https://www.oregoncityschools.org/downloads/1-1Handbook-Chromebook-2016.pdf","https://www.ocsd62.org/page/technology","1154","610","1","0","4109330"
"EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY)","NY","Spring Valley","2020","October","Yes","K-12","Chromebook","COVID-era rollout; district distributed individual Chromebooks to all students (5000+) starting Oct 2020; T-Mobile hotspot partnership announced Dec 2020; no evidence of pre-COVID 1:1 program","https://www.ercsd.org/site/default.aspx?PageType=3&DomainID=1014&ModuleInstanceID=5760&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=22352&PageID=4065","https://www.ercsd.org/site/default.aspx?PageType=3&DomainID=717&ModuleInstanceID=5760&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=23922&PageID=3173","1155","610","1","0","3627810"
"MARLBORO TOWNSHIP BOARD OF EDUCATION","NJ","Marlboro","2015 (by)","","Yes (phased)","K-8","Mixed (Chromebook/iPad)","Special committee formed Aug 2012; 3-year plan to achieve 1:1 by 2015; dual platform: Chromebooks and iPads; MS Chromebook carts and iPad carts per building; 2012-13 budget included $719K for new technology","https://patch.com/new-jersey/marlboro-coltsneck/board-of-ed-committee-recommends-mobile-devices-in-madf21c30713","","1156","609","1","0","3409720"
"COFFEE COUNTY","GA","Douglas","2022","","Yes","K-12","Chromebook","1:1 Chromebook rollout for grades 3-12 in 2022-23 SY; K-2 have daily classroom access; earlier shared device access per district site","https://schools.gcpsk12.org/domain/14673","https://www.coffee.k12.ga.us/","1157","609","1","0","1301350"
"NOVATO UNIFIED","CA","Novato","2020 (by)","","Yes","3-12","Chromebook","1:World Technology Program: all grades 3-12 have Chromebooks to take home; K-2 use classroom sets of iPads/Chromebooks; no firm start year found in web sources; program is established and described on district website","https://nusd.org/educational-services/programs/1toworld-technology-program/","https://www.nusd.org/information-technology/","1158","608","1","0","0627720"
"SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO","CO","Commerce City","2020 (by)","","Yes (likely)","K-12","Chromebook","Adams County SD 14 serves 5000+ students in Commerce City; no specific 1:1 device program year found in web sources; district website lacks dated technology initiative info","https://www.adams14.org/","","1159","607","1","0","0801950"
"WHITE BEAR LAKE SCHOOL DISTRICT","MN","White Bear Lake","2019 (by)","","Yes","6-12","Chromebook","All middle and high school students issued district Chromebooks; elementary families may request one; HS students issued Chromebook at grade 9 and keep through grade 12; no specific launch year documented in public sources; Google Leadership Symposium hosted April 2014","https://www.isd624.org/departments/technology/technology-tools","https://www.isd624.org/departments/technology","1160","606","1","0","2742360"
"MUNCIE COMMUNITY SCHOOLS","IN","Muncie","2020 (by)","","Yes (likely)","K-12","Chromebook","Technology department page confirms device program; district under state oversight (DUAB); no specific 1:1 launch year found in public sources","https://www.muncie.k12.in.us/departments/technology","","1161","606","1","0","1807320"
