"Huntington Co Com Sch Corp","IN","Huntington","2012","Fall","Yes","K-12 (MS/HS MacBook; ES iPad)","Mixed (MacBook/iPad)","21st Century School Corp since Fall 2012; MS/HS use MacBooks, all 5 ES use iPads; district-wide 1:1","https://en.wikipedia.org/wiki/Huntington_County_Community_School_Corporation","https://www.hccsc.k12.in.us/parents/technology_help/mac_book_help","1701","427","1","0","1804710"
"Gadsden City","AL","Gadsden","2020 (by)","","Yes","K-12","Chromebook","Chromebooks distributed to elementary (in-school), MS and HS (take-home); COVID-era evidence; no pre-pandemic launch date found","https://www.gcs.k12.al.us/school-board/technology/","","1702","427","1","0","0101620"
"Gloucester Co Pblc Schs","VA","Gloucester","2020 (by)","","Yes","3-12 take-home; K-2 in-classroom","Chromebook","All GCPS students grades 3-12 issued Chromebook for school and home; K-2 have daily in-classroom access; no pre-2020 dated launch found","https://gets.gc.k12.va.us/o/gcps/page/technology-resources","","1703","426","1","0","5101620"
"Hardee","FL","Wauchula","2020 (by)","","Yes (likely)","Not specified","Chromebook","District uses Chromebooks; no dated 1:1 launch announcement found; COVID era upper bound","https://www.hardee.k12.fl.us/","","1704","426","1","0","1200750"
"Delaware City","OH","Delaware","2020 (by)","","Yes (phased)","7-12","Chromebook","7th grade laptop program documented; district-wide Chromebook program established; no specific launch year found; upper bound","https://www.dcs.k12.oh.us/Page/4727","https://www.dcs.k12.oh.us/departments/technology-department/technology-faq-for-students-and-families","1705","425","1","0","3904387"
"Zeeland Public Schools","MI","Zeeland","2011","Fall","Yes","PK-2 iPad; 3-12 Chromebook (originally iPad)","Mixed (iPad/Chromebook)","1:1 iPad for grades 3-12 launched fall 2011 (1800 iPads); Apple Distinguished Program Award 2012/2013/2015-17; later transitioned to Chromebooks for grades 3-12","https://abcnews.go.com/Technology/ipads-high-school-student-michigan-district/story?id=14565529","https://www.zps.org/about-us/zps-technology/","1706","425","1","0","2636660"
"Muskegon Public Schools Of The City Of","MI","Muskegon","2018","Fall","Yes (phased)","HS 1:1 take-home; MS in-school; ES classroom sets","Chromebook","Board approved June 2018; HS students picked up at Aug 28 2018 registration; MS 1:1 in-school; ES classroom sets","https://muskegonpublicschools.org/technology/","","1707","425","1","0","2624840"
"Crestwood School District","MI","Dearborn Heights","2020 (by)","","Yes","5-11","Chromebook","Grades 5-11 district-issued Chromebooks; Chromebook pickup at Board office; no earlier dated launch found","https://www.csdm.k12.mi.us/","","1708","425","1","0","2600016"
"Jefferson Davis Parish","LA","Jennings","2020 (by)","","Yes (likely)","Not specified","Chromebook","Louisiana DOE technology snapshot referenced; COVID-era evidence; no pre-2020 launch year documented","https://www.jeffersondavis.org/","https://louisianaschools.com/schools/027/about-our-school/Jefferson%20Davis%20Parish","1709","425","1","0","2200810"
"Bloomington SD 87","IL","Bloomington","2020 (by)","","Yes (likely)","Not specified","Chromebook","District uses Chromebooks; Gaggle case study references program; no specific pre-pandemic launch year found","https://www.gaggle.net/case-studies/bloomington-school-district-87","https://www.district87.org/","1710","425","1","0","1706480"
"Ravenswood City Elementary","CA","East Palo Alto","2016","Winter","Yes","3-8","Chromebook","1:1 ratio achieved end of winter 2016 for grades 3-8 (~70% Chromebook 30% Windows laptops); serving K-8; expansion to K-2 planned","https://www.edsurge.com/schools/ravenswood-city-school-district","https://www.ravenswoodschools.org/Choose-Ravenswood/Departments/Teaching-and-Learning/Distance-Learning/Technology-and-Tech-Support/","1711","425","1","0","0631860"
